The data supplied is licensed under a Creative Commons Attribution 4.0 licence. ,,,,
To view a copy of this licence visit:,,,,
http://creativecommons.org/licenses/by/4.0,,,,
,,,,
Licence:,,,,
This work is licensed under a Creative Commons Attribution 4.0 Licence: ,,,,
http://creativecommons.org/licenses/by/4.0/legalcode ,,,,
,,,,
You are free:,,,,
,,,,
               1.to copy distribute display and perform the work,,,,
               2.to make derivative works,,,,
               3.to make commercial use of the work,,,,
,,,,
Under the following conditions:,,,,
,,,,
               1. You must give the original author credit.,,,,
"               2. Please attribute ""NSW Office of Environment and Heritage"" in any publications using this data.",,,,
,,,,
,,,,
Station Name, Cabbage Tree Creek Downstream (Live),,,
Station Number,214406,,,
Longitude,150.892547,,,
Latitude,-34.396809,,,
Web,http://www.mhl.nsw.gov.au/Site-214406,,,
Google Maps,"https://www.google.com.au/maps/place//@-34.396809,150.892547,14z/data=!3m1!4b1!4m2!3m1!1s0x0:0x0",,,
,,,,
Datum, AHD,,,
16/03/1999,0:00:00,4.030,161 (Data Loss),16/03/1999 0:00
17/03/1999,0:00:00,4.030,161 (Data Loss),17/03/1999 0:00
18/03/1999,0:00:00,4.030,161 (Data Loss),18/03/1999 0:00
19/03/1999,0:00:00,4.030,161 (Data Loss),19/03/1999 0:00
20/03/1999,0:00:00,4.030,161 (Data Loss),20/03/1999 0:00
21/03/1999,0:00:00,4.030,161 (Data Loss),21/03/1999 0:00
22/03/1999,0:00:00,4.030,161 (Data Loss),22/03/1999 0:00
23/03/1999,0:00:00,4.030,161 (Data Loss),23/03/1999 0:00
24/03/1999,0:00:00,4.030,161 (Data Loss),24/03/1999 0:00
25/03/1999,0:00:00,4.030,161 (Data Loss),25/03/1999 0:00
26/03/1999,0:00:00,4.030,161 (Data Loss),26/03/1999 0:00
27/03/1999,0:00:00,4.030,161 (Data Loss),27/03/1999 0:00
28/03/1999,0:00:00,4.030,161 (Data Loss),28/03/1999 0:00
29/03/1999,0:00:00,4.030,161 (Data Loss),29/03/1999 0:00
30/03/1999,0:00:00,4.030,161 (Data Loss),30/03/1999 0:00
31/03/1999,0:00:00,4.030,161 (Data Loss),31/03/1999 0:00
1/04/1999,0:00:00,4.030,161 (Data Loss),1/04/1999 0:00
2/04/1999,0:00:00,4.030,161 (Data Loss),2/04/1999 0:00
3/04/1999,0:00:00,4.030,161 (Data Loss),3/04/1999 0:00
4/04/1999,0:00:00,4.030,161 (Data Loss),4/04/1999 0:00
5/04/1999,0:00:00,4.030,161 (Data Loss),5/04/1999 0:00
6/04/1999,0:00:00,4.030,161 (Data Loss),6/04/1999 0:00
7/04/1999,0:00:00,4.030,161 (Data Loss),7/04/1999 0:00
8/04/1999,0:00:00,4.030,161 (Data Loss),8/04/1999 0:00
9/04/1999,0:00:00,4.030,161 (Data Loss),9/04/1999 0:00
10/04/1999,0:00:00,4.030,161 (Data Loss),10/04/1999 0:00
11/04/1999,0:00:00,4.030,161 (Data Loss),11/04/1999 0:00
12/04/1999,0:00:00,4.030,161 (Data Loss),12/04/1999 0:00
13/04/1999,0:00:00,4.030,161 (Data Loss),13/04/1999 0:00
